YYYY;MM;DD;qobs;qc_flag
1985;1;11;31.06;120
1985;1;12;58.35;120
1985;1;13;69.79;120
1985;1;14;58.05;120
1985;1;15;51.6;120
1985;1;16;49.42;120
1985;1;17;47.01;120
1985;1;18;40.81;120
1985;1;19;33.61;120
1985;1;20;28.56;120
1985;1;21;26.41;120
1985;1;22;25.2;120
1985;1;23;23.88;120
1985;1;24;22.97;120
1985;1;25;22.33;120
1985;1;26;22.05;120
1985;1;27;21.92;120
1985;1;28;21.82;120
1985;1;29;21.71;120
1985;1;30;21.6;120
1985;1;31;21.49;120
1985;2;1;21.38;120
1985;2;2;21.27;120
1985;2;3;21.17;120
1985;2;4;21.06;120
1985;2;5;20.96;120
1985;2;6;20.85;120
1985;2;7;20.75;120
1985;2;8;20.65;120
1985;2;9;20.55;120
1985;2;10;20.44;120
1985;2;11;20.34;120
1985;2;12;20.24;120
1985;2;13;20.14;120
1985;2;14;20.03;120
1985;2;15;19.94;120
1985;2;16;19.84;120
1985;2;17;19.74;120
1985;2;18;19.64;120
1985;2;19;19.55;120
1985;2;20;19.47;120
1985;2;21;19.37;120
1985;2;22;19.27;120
1985;2;23;19.18;120
1985;2;24;19.08;120
1985;2;25;19.0;120
1985;2;26;18.97;120
1985;2;27;19.26;120
1985;2;28;22.31;120
1985;3;1;29.64;120
1985;3;2;35.05;120
1985;3;3;30.22;120
1985;3;4;25.29;120
1985;3;5;22.79;120
1985;3;6;22.76;120
1985;3;7;23.66;120
1985;3;8;22.14;120
1985;3;9;20.33;120
1985;3;10;19.47;120
1985;3;11;19.19;120
1985;3;12;19.12;120
1985;3;13;16.3;100
1985;3;14;16.3;100
1985;3;15;16.3;40
1985;3;16;22.25;40
1985;3;17;22.25;40
1985;3;18;20.33;40
1985;3;19;21.76;40
1985;3;20;21.76;40
1985;3;21;20.8;40
1985;3;22;20.8;40
1985;3;23;20.33;40
1985;3;24;19.87;40
1985;3;25;19.87;40
1985;3;26;20.33;40
1985;3;27;19.87;40
1985;3;28;19.87;40
1985;3;29;19.43;40
1985;3;30;21.27;40
1985;3;31;20.8;40
1985;4;1;19.87;40
1985;4;2;19.43;40
1985;4;3;18.99;40
1985;4;4;18.99;40
1985;4;5;22.25;40
1985;4;6;24.32;40
1985;4;7;21.76;40
1985;4;8;21.27;40
1985;4;9;20.33;40
1985;4;10;19.87;40
1985;4;11;20.8;40
1985;4;12;20.33;40
1985;4;13;19.43;40
1985;4;14;18.99;40
1985;4;15;17.31;40
1985;4;16;18.55;40
1985;4;17;20.33;40
1985;4;18;19.87;40
1985;4;19;19.43;40
1985;4;20;19.43;40
1985;4;21;21.76;40
1985;4;22;22.75;40
1985;4;23;25.41;40
1985;4;24;31.02;40
1985;4;25;25.41;40
1985;4;26;24.32;40
1985;4;27;21.76;40
1985;4;28;21.76;40
1985;4;29;24.86;40
1985;4;30;24.32;40
1985;5;1;23.79;40
1985;5;2;25.41;40
1985;5;3;30.11;40
1985;5;4;31.02;40
1985;5;5;27.12;40
1985;5;6;27.12;40
1985;5;7;26.54;40
1985;5;8;27.12;40
1985;5;9;27.12;40
1985;5;10;30.11;40
1985;5;11;51.33;40
1985;5;12;37.86;40
1985;5;13;35.83;40
1985;5;14;51.33;40
1985;5;15;55.04;40
1985;5;16;56.31;40
1985;5;17;77.23;40
1985;5;18;67.02;40
1985;5;19;68.43;40
1985;5;20;72.76;40
1985;5;21;80.29;40
1985;5;22;86.61;40
1985;5;23;72.76;40
1985;5;24;56.31;40
1985;5;25;47.75;40
1985;5;26;43.21;40
